barrio,comuna,latitud,longitud,id
Versalles,10.0,-34.626641,-58.527606,1
Villa Devoto,11.0,-34.611268,-58.525386,2
Versalles,10.0,-34.625434,-58.525013,3
Villa Devoto,11.0,-34.606789,-58.520726,4
Mataderos,9.0,-34.655199,-58.514301,5
Villa Luro,10.0,-34.627631,-58.513364,6
Monte Castro,10.0,-34.621312,-58.51289,7
Mataderos,9.0,-34.659029,-58.510638,8
Villa Devoto,11.0,-34.589594,-58.509538,9
Villa Devoto,11.0,-34.60425,-58.509191,10
Villa Devoto,11.0,-34.599787,-58.509188,11
Mataderos,9.0,-34.654145,-58.5091,12
Mataderos,9.0,-34.654173,-58.507621,13
Mataderos,9.0,-34.655044,-58.506496,14
Villa Urquiza,12.0,-34.569467,-58.505272,15
Monte Castro,10.0,-34.611679,-58.504407,16
Villa Luro,10.0,-34.639229,-58.5034,17
Vélez Sársfield,10.0,-34.624019,-58.502481,18
Mataderos,9.0,-34.663806,-58.501785,19
Mataderos,9.0,-34.67398,-58.501639,20
Saavedra,12.0,-34.552046,-58.500649,21
Mataderos,9.0,-34.671922,-58.500072,22
Agronomía,15.0,-34.593679,-58.498541,23
Villa Lugano,8.0,-34.67673,-58.496396,24
Villa Del Parque,11.0,-34.601456,-58.49416,25
Villa Lugano,8.0,-34.671294,-58.490546,26
Parque Avellaneda,9.0,-34.647116,-58.489872,27
Villa Lugano,8.0,-34.677872,-58.487834,28
Floresta,10.0,-34.625617,-58.487251,29
Villa Lugano,8.0,-34.671479,-58.48589,30
Saavedra,12.0,-34.550264,-58.485759,31
Villa Urquiza,12.0,-34.572344,-58.484832,32
Villa Del Parque,11.0,-34.601164,-58.484168,33
Parque Avellaneda,9.0,-34.642021,-58.483255,34
Villa Urquiza,12.0,-34.571972,-58.482766,35
Villa Lugano,8.0,-34.670833,-58.4817,36
Floresta,10.0,-34.632072,-58.480967,37
Saavedra,12.0,-34.552912,-58.480004,38
Villa Urquiza,12.0,-34.565882,-58.479528,39
Saavedra,12.0,-34.544368,-58.479453,40
Villa Del Parque,11.0,-34.604973,-58.478891,41
Villa Santa Rita,11.0,-34.621529,-58.47872,42
Saavedra,12.0,-34.541779,-58.477918,43
Parque Avellaneda,9.0,-34.655691,-58.477789,44
Villa Santa Rita,11.0,-34.618643,-58.477447,45
Parque Avellaneda,9.0,-34.659248,-58.477042,46
Floresta,10.0,-34.630762,-58.476378,47
Paternal,15.0,-34.59721,-58.475945,48
Nuñez,13.0,-34.539707,-58.475075,49
Villa Lugano,8.0,-34.661996,-58.475019,50
Villa Gral. Mitre,11.0,-34.610283,-58.475009,51
Parque Avellaneda,9.0,-34.661008,-58.473993,52
Parque Avellaneda,9.0,-34.658777,-58.473219,53
Parque Avellaneda,9.0,-34.658801,-58.472782,54
Coghlan,12.0,-34.565108,-58.470986,55
Nuñez,13.0,-34.554091,-58.470705,56
Nuñez,13.0,-34.545213,-58.470655,57
Nuñez,13.0,-34.544921,-58.470326,58
Nuñez,13.0,-34.544207,-58.470068,59
Flores,7.0,-34.631163,-58.467998,60
Villa Lugano,8.0,-34.675526,-58.467652,61
Parque Avellaneda,9.0,-34.651176,-58.467398,62
Parque Avellaneda,9.0,-34.646137,-58.466886,63
Villa Lugano,8.0,-34.686503,-58.462955,64
Flores,7.0,-34.619966,-58.462917,65
Flores,7.0,-34.628893,-58.462575,66
Nuñez,13.0,-34.549862,-58.461428,67
Paternal,15.0,-34.602217,-58.461061,68
Flores,7.0,-34.636309,-58.460928,69
Flores,7.0,-34.618622,-58.460229,70
Nuñez,13.0,-34.547578,-58.460021,71
Chacarita,15.0,-34.579735,-58.459784,72
Belgrano,13.0,-34.569614,-58.459185,73
Flores,7.0,-34.641309,-58.458681,74
Flores,7.0,-34.626536,-58.4582,75
Chacarita,15.0,-34.581995,-58.457464,76
Nuñez,13.0,-34.550009,-58.456846,77
Flores,7.0,-34.636139,-58.456032,78
Villa Soldati,8.0,-34.66455,-58.455756,79
Caballito,6.0,-34.620256,-58.455326,80
Belgrano,13.0,-34.565551,-58.455211,81
Chacarita,15.0,-34.587392,-58.455128,82
Belgrano,13.0,-34.565387,-58.455033,83
Flores,7.0,-34.641647,-58.452977,84
Chacarita,15.0,-34.582092,-58.451852,85
Chacarita,15.0,-34.592487,-58.451782,86
Parque Chacabuco,7.0,-34.631652,-58.451102,87
Belgrano,13.0,-34.54693,-58.450449,88
Chacarita,15.0,-34.583604,-58.449849,89
Villa Soldati,8.0,-34.659589,-58.449762,90
Flores,7.0,-34.647244,-58.449219,91
Villa Crespo,15.0,-34.601686,-58.447647,92
Parque Chacabuco,7.0,-34.637378,-58.447205,93
Palermo,14.0,-34.568436,-58.446577,94
Belgrano,13.0,-34.558212,-58.445486,95
Chacarita,15.0,-34.584513,-58.444788,96
Colegiales,13.0,-34.573985,-58.443879,97
Villa Soldati,8.0,-34.659576,-58.442772,98
Parque Chacabuco,7.0,-34.635863,-58.441865,99
Caballito,6.0,-34.620868,-58.44183,100
Parque Chacabuco,7.0,-34.629683,-58.441318,101
Parque Chacabuco,7.0,-34.629749,-58.441267,102
Parque Chacabuco,7.0,-34.640867,-58.441205,103
Villa Crespo,15.0,-34.595216,-58.441191,104
Villa Crespo,15.0,-34.601021,-58.440459,105
Caballito,6.0,-34.628409,-58.437136,106
Caballito,6.0,-34.60647,-58.43577,107
Villa Soldati,8.0,-34.662026,-58.435196,108
Villa Crespo,15.0,-34.601265,-58.434879,109
Parque Chacabuco,7.0,-34.642205,-58.434682,110
Villa Soldati,8.0,-34.661006,-58.43345,111
Villa Crespo,15.0,-34.60063,-58.431999,112
Palermo,14.0,-34.578649,-58.431961,113
Villa Crespo,15.0,-34.594326,-58.431811,114
Almagro,5.0,-34.601373,-58.431459,115
Nueva Pompeya,4.0,-34.643992,-58.431202,116
Palermo,14.0,-34.588628,-58.430327,117
Almagro,5.0,-34.603735,-58.428821,118
Nueva Pompeya,4.0,-34.650996,-58.428799,119
Caballito,6.0,-34.626546,-58.428251,120
Palermo,14.0,-34.591428,-58.428037,121
Boedo,5.0,-34.624302,-58.427245,122
Nueva Pompeya,4.0,-34.656467,-58.426532,123
Villa Crespo,15.0,-34.597477,-58.426325,124
Villa Crespo,15.0,-34.597323,-58.426303,125
Almagro,5.0,-34.610569,-58.424486,126
Parque Chacabuco,7.0,-34.63933,-58.424446,127
Nueva Pompeya,4.0,-34.650847,-58.423061,128
Palermo,14.0,-34.594242,-58.422937,129
Almagro,5.0,-34.611979,-58.421108,130
Palermo,14.0,-34.585327,-58.421084,131
Nueva Pompeya,4.0,-34.646924,-58.421062,132
Palermo,14.0,-34.570417,-58.420918,133
Palermo,14.0,-34.582816,-58.420692,134
Almagro,5.0,-34.60971,-58.419918,135
Palermo,14.0,-34.56553,-58.419832,136
Almagro,5.0,-34.615799,-58.417458,137
Almagro,5.0,-34.605794,-58.415591,138
Palermo,14.0,-34.581748,-58.414231,139
Palermo,14.0,-34.576048,-58.413329,140
Almagro,5.0,-34.603119,-58.413244,141
Almagro,5.0,-34.613692,-58.413075,142
Balvanera,3.0,-34.604079,-58.411765,143
Recoleta,2.0,-34.593224,-58.411653,144
Balvanera,3.0,-34.603955,-58.410672,145
Nueva Pompeya,4.0,-34.65439,-58.410048,146
Recoleta,2.0,-34.591668,-58.409949,147
Palermo,14.0,-34.577281,-58.409869,148
Parque Patricios,4.0,-34.640844,-58.408918,149
Palermo,14.0,-34.582849,-58.408207,150
Palermo,14.0,-34.567268,-58.407866,151
Balvanera,3.0,-34.607799,-58.407351,152
Balvanera,3.0,-34.603068,-58.407305,153
Palermo,14.0,-34.578682,-58.40692,154
Recoleta,2.0,-34.595385,-58.406687,155
Balvanera,3.0,-34.613647,-58.406428,156
Balvanera,3.0,-34.614799,-58.4062,157
Parque Patricios,4.0,-34.641247,-58.405996,158
Parque Patricios,4.0,-34.639536,-58.405733,159
Balvanera,3.0,-34.615823,-58.40456,160
Parque Patricios,4.0,-34.642715,-58.404539,161
Balvanera,3.0,-34.614675,-58.404092,162
Balvanera,3.0,-34.604749,-58.403636,163
San Cristóbal,3.0,-34.623939,-58.403481,164
San Cristóbal,3.0,-34.618853,-58.402458,165
Balvanera,3.0,-34.616705,-58.402059,166
Balvanera,3.0,-34.603537,-58.400951,167
Barracas,4.0,-34.654378,-58.400778,168
Barracas,4.0,-34.651002,-58.400127,169
San Cristóbal,3.0,-34.618679,-58.399898,170
Parque Patricios,4.0,-34.636571,-58.398542,171
Balvanera,3.0,-34.60723,-58.39847,172
Recoleta,2.0,-34.588525,-58.397765,173
Parque Patricios,4.0,-34.635647,-58.397438,174
Balvanera,3.0,-34.600928,-58.396288,175
Recoleta,2.0,-34.593404,-58.395696,176
Balvanera,3.0,-34.605853,-58.395148,177
San Cristóbal,3.0,-34.619527,-58.394503,178
Recoleta,2.0,-34.58563,-58.39365,179
Recoleta,2.0,-34.583292,-58.392374,180
Balvanera,3.0,-34.604692,-58.392373,181
San Nicolás,1.0,-34.605102,-58.392142,182
Balvanera,3.0,-34.610339,-58.391882,183
San Nicolás,1.0,-34.609099,-58.390394,184
Parque Patricios,4.0,-34.636774,-58.390258,185
Recoleta,2.0,-34.594371,-58.390108,186
San Nicolás,1.0,-34.604909,-58.389409,187
Barracas,4.0,-34.65384,-58.388802,188
Constitución,1.0,-34.620384,-58.387334,189
Recoleta,2.0,-34.594741,-58.387323,190
Constitución,1.0,-34.627116,-58.387188,191
Retiro,1.0,-34.578238,-58.385618,192
San Nicolás,1.0,-34.601678,-58.385367,193
Constitución,1.0,-34.61858,-58.383568,194
Constitución,1.0,-34.61919,-58.382934,195
Constitución,1.0,-34.627859,-58.382817,196
Retiro,1.0,-34.597911,-58.382182,197
San Nicolás,1.0,-34.60485,-58.380942,198
San Nicolás,1.0,-34.602365,-58.378761,199
Monserrat,1.0,-34.61746,-58.378655,200
Retiro,1.0,-34.595546,-58.37854,201
Constitución,1.0,-34.619759,-58.378059,202
Barracas,4.0,-34.648961,-58.377018,203
San Nicolás,1.0,-34.598899,-58.376891,204
Retiro,1.0,-34.598702,-58.375355,205
Barracas,4.0,-34.647187,-58.374817,206
Retiro,1.0,-34.59179,-58.374559,207
San Telmo,1.0,-34.621963,-58.372593,208
Monserrat,1.0,-34.608437,-58.372215,209
San Nicolás,1.0,-34.602825,-58.368248,210
San Nicolás,1.0,-34.602831,-58.368194,211
Puerto Madero,1.0,-34.602279,-58.368146,212
Puerto Madero,1.0,-34.608023,-58.366682,213
Puerto Madero,1.0,-34.607268,-58.366633,214
Puerto Madero,1.0,-34.607006,-58.366179,215
Puerto Madero,1.0,-34.607472,-58.366126,216
Puerto Madero,1.0,-34.608041,-58.366064,217
Boca,4.0,-34.628924,-58.365582,218
Puerto Madero,1.0,-34.604886,-58.364428,219
Boca,4.0,-34.628495,-58.363915,220
San Telmo,1.0,-34.625119,-58.363464,221
Boca,4.0,-34.635336,-58.363406,222
Boca,4.0,-34.634491,-58.35938,223
Boca,4.0,-34.63103,-58.358001,224
Boca,4.0,-34.63535,-58.356489,225
Liniers,9.0,-34.63725,-58.526623,226
Liniers,9.0,-34.634286,-58.52311,227
Liniers,9.0,-34.641156,-58.52223,228
Versalles,10.0,-34.62932,-58.521298,229
Versalles,10.0,-34.633822,-58.521079,230
Versalles,10.0,-34.629667,-58.519953,231
Villa Devoto,11.0,-34.589282,-58.519116,232
Mataderos,9.0,-34.658902,-58.518225,233
Liniers,9.0,-34639,-58.517999,234
Villa Devoto,11.0,-34.618083,-58.517923,235
Villa Devoto,11.0,-34.614048,-58.517895,236
Liniers,9.0,-34.644236,-58.517738,237
Mataderos,9.0,-34.660935,-58.515619,238
Villa Devoto,11.0,-34.594396,-58.515396,239
Liniers,9.0,-34.638457,-58.51449,240
Villa Devoto,11.0,-34.599198,-58.51376,241
Villa Luro,10.0,-34.631298,-58.512595,242
Monte Castro,10.0,-34.625114,-58.510559,243
Villa Devoto,11.0,-34.587228,-58.510125,244
Villa Pueyrredón,12.0,-34.580404,-58.508823,245
Liniers,9.0,-34.648078,-58.508795,246
Villa Pueyrredón,12.0,-34.577713,-58.508185,247
Mataderos,9.0,-34.669129,-58.508095,248
Liniers,9.0,-34.643226,-58.507377,249
Mataderos,9.0,-34.663914,-58.506389,250
Mataderos,9.0,-34.671307,-58.503637,251
Mataderos,9.0,-34.652172,-58.503159,252
Monte Castro,10.0,-34.617001,-58.503021,253
Vélez Sársfield,10.0,-34.631508,-58.499269,254
Villa Urquiza,12.0,-34.571984,-58.4992,255
Mataderos,9.0,-34.659415,-58.498171,256
Agronomía,15.0,-34.595992,-58.497429,257
Villa Lugano,8.0,-34.678831,-58.495168,258
Villa Lugano,8.0,-34.671272,-58.494561,259
Villa Urquiza,12.0,-34.568306,-58.493019,260
Villa Lugano,8.0,-34.66658,-58.492205,261
Villa Del Parque,11.0,-34.601532,-58.491677,262
Villa Lugano,8.0,-34.678207,-58.491602,263
Vélez Sársfield,10.0,-34.636583,-58.490952,264
Floresta,10.0,-34.626964,-58.490843,265
Mataderos,9.0,-34.65226,-58.490779,266
Villa Del Parque,11.0,-34.601474,-58.49067,267
Villa Santa Rita,11.0,-34.610847,-58.489135,268
Villa Lugano,8.0,-34.669433,-58.488885,269
Vélez Sársfield,10.0,-34.634164,-58.48843,270
Saavedra,12.0,-34.55811,-58.487586,271
Villa Del Parque,11.0,-34.602836,-58.487143,272
Saavedra,12.0,-34.553938,-58.486833,273
Villa Urquiza,12.0,-34.573183,-58.486083,274
Villa Lugano,8.0,-34.673974,-58.485838,275
Villa Del Parque,11.0,-34.598993,-58.485131,276
Vélez Sársfield,10.0,-34.638764,-58.485097,277
Villa Del Parque,11.0,-34.602512,-58.484012,278
Villa Del Parque,11.0,-34.60089,-58.483805,279
Floresta,10.0,-34.63394,-58.482379,280
Parque Avellaneda,9.0,-34.652137,-58.481934,281
Villa Lugano,8.0,-34.666049,-58.481318,282
Parque Avellaneda,9.0,-34.639714,-58.47967,283
Villa Urquiza,12.0,-34.572725,-58.4792,284
Parque Avellaneda,9.0,-34.657728,-58.478841,285
Villa Riachuelo,8.0,-34.686754,-58.478186,286
Villa Del Parque,11.0,-34.604628,-58.478179,287
Floresta,10.0,-34.631319,-58.478172,288
Parque Chas,15.0,-34.580544,-58.477574,289
Villa Del Parque,11.0,-34.605641,-58.477508,290
Floresta,10.0,-34.631089,-58.477432,291
Villa Gral. Mitre,11.0,-34.610615,-58.477119,292
Villa Ortuzar,15.0,-34.579469,-58.477101,293
Villa Lugano,8.0,-34.663676,-58.476985,294
Floresta,10.0,-34.625626,-58.476308,295
Villa Urquiza,12.0,-34.567022,-58.475935,296
Villa Riachuelo,8.0,-34.693454,-58.475757,297
Saavedra,12.0,-34.541618,-58.475684,298
Flores,7.0,-34.62717,-58.47471,299
Flores,7.0,-34.62362,-58.474671,300
Parque Avellaneda,9.0,-34.654153,-58.474588,301
Parque Avellaneda,9.0,-34.659162,-58.474483,302
Floresta,10.0,-34.635873,-58.474182,303
Floresta,10.0,-34.634999,-58.473993,304
Nuñez,13.0,-34.538661,-58.473731,305
Villa Lugano,8.0,-34.675512,-58.47356,306
Paternal,15.0,-34.599742,-58.473419,307
Paternal,15.0,-34.604674,-58.472983,308
Coghlan,12.0,-34.558839,-58.472957,309
Coghlan,12.0,-34.560778,-58.4727,310
Villa Lugano,8.0,-34.675947,-58.472586,311
Coghlan,12.0,-34.55648,-58.472235,312
Coghlan,12.0,-34.56403,-58.471336,313
Flores,7.0,-34.629596,-58.471007,314
Villa Gral. Mitre,11.0,-34.607308,-58.470896,315
Villa Gral. Mitre,11.0,-34.603298,-58.470119,316
Villa Lugano,8.0,-34.673762,-58.469742,317
Villa Lugano,8.0,-34.679586,-58.468083,318
Villa Ortuzar,15.0,-34.581676,-58.467877,319
Villa Lugano,8.0,-34.662619,-58.467237,320
Nuñez,13.0,-34.550488,-58.466952,321
Villa Ortuzar,15.0,-34.575427,-58.466498,322
Villa Lugano,8.0,-34.674789,-58.466394,323
Villa Lugano,8.0,-34.680402,-58.465798,324
Nuñez,13.0,-34.543076,-58.465764,325
Villa Ortuzar,15.0,-34.584614,-58.465102,326
Villa Ortuzar,15.0,-34.578709,-58.464645,327
Nuñez,13.0,-34.543728,-58.463942,328
Villa Lugano,8.0,-34.688724,-58.46368,329
Flores,7.0,-34.639231,-58.463124,330
Flores,7.0,-34.621933,-58.461802,331
Flores,7.0,-34.633333,-58.460899,332
Nuñez,13.0,-34.54883,-58.460375,333
Belgrano,13.0,-34.557979,-58.460027,334
Villa Soldati,8.0,-34.656701,-58.459842,335
Flores,7.0,-34.637597,-58.459412,336
Belgrano,13.0,-34.563958,-58.459262,337
Chacarita,15.0,-34.582925,-58.459007,338
Belgrano,13.0,-34.55592,-58.458151,339
Belgrano,13.0,-34.56893,-58.457828,340
Villa Lugano,8.0,-34.68645,-58.457774,341
Colegiales,13.0,-34.56911,-58.457477,342
Flores,7.0,-34.622952,-58.457475,343
Belgrano,13.0,-34.560194,-58.456068,344
Belgrano,13.0,-34.562847,-58.455518,345
Chacarita,15.0,-34.579377,-58.454777,346
Villa Soldati,8.0,-34.658556,-58.453854,347
Chacarita,15.0,-34.585502,-58.453676,348
Parque Chacabuco,7.0,-34.633518,-58.453264,349
Belgrano,13.0,-34.565844,-58.453037,350
Belgrano,13.0,-34.566109,-58.45229,351
Belgrano,13.0,-34.547489,-58.449845,352
Villa Crespo,15.0,-34.604608,-58.44962,353
Caballito,6.0,-34.623701,-58.448789,354
Flores,7.0,-34.645202,-58.448723,355
Parque Chacabuco,7.0,-34.638007,-58.448519,356
Caballito,6.0,-34.626568,-58.448201,357
Caballito,6.0,-34.625389,-58.447888,358
Chacarita,15.0,-34.590981,-58.446805,359
Colegiales,13.0,-34.571262,-58.446733,360
Caballito,6.0,-34.612509,-58.446661,361
Colegiales,13.0,-34.576907,-58.446453,362
Colegiales,13.0,-34.569327,-58.446421,363
Parque Chacabuco,7.0,-34.632133,-58.445603,364
Caballito,6.0,-34.614025,-58.445321,365
Belgrano,13.0,-34.555895,-58.445052,366
Caballito,6.0,-34.608598,-58.444468,367
Colegiales,13.0,-34.571317,-58.444352,368
Caballito,6.0,-34.623017,-58.443622,369
Parque Chacabuco,7.0,-34.630432,-58.44263,370
Villa Crespo,15.0,-34.592054,-58.442626,371
Palermo,14.0,-34.574822,-58.442595,372
Caballito,6.0,-34.622485,-58.442143,373
Villa Crespo,15.0,-34.600724,-58.441992,374
Villa Crespo,15.0,-34.604367,-58.441873,375
Villa Soldati,8.0,-34.663326,-58.44151,376
Caballito,6.0,-34.620717,-58.440507,377
Flores,7.0,-34.649197,-58.440418,378
Caballito,6.0,-34.610394,-58.439552,379
Palermo,14.0,-34.583472,-58.439216,380
Caballito,6.0,-34.609455,-58.438721,381
Palermo,14.0,-34.57623,-58.438709,382
Villa Soldati,8.0,-34.660147,-58.43755,383
Palermo,14.0,-34.575398,-58.435367,384
Villa Soldati,8.0,-34.661029,-58.433499,385
Villa Crespo,15.0,-34.600184,-58.433291,386
Palermo,14.0,-34.57959,-58.433126,387
Palermo,14.0,-34.577849,-58.432983,388
Palermo,14.0,-34.579265,-58.43258,389
Palermo,14.0,-34.566017,-58.432507,390
Villa Crespo,15.0,-34.594513,-58.431637,391
Caballito,6.0,-34.607555,-58.431584,392
Palermo,14.0,-34.576729,-58.431577,393
Palermo,14.0,-34.576609,-58.431563,394
Caballito,6.0,-34.62643,-58.431505,395
Palermo,14.0,-34.587661,-58.430533,396
Almagro,5.0,-34.603286,-58.430363,397
Caballito,6.0,-34.618546,-58.430077,398
Villa Crespo,15.0,-34.598113,-58.430055,399
Palermo,14.0,-34.58838,-58.429664,400
Parque Chacabuco,7.0,-34.627335,-58.428603,401
Parque Chacabuco,7.0,-34.629741,-58.428431,402
Nueva Pompeya,4.0,-34.647953,-58.428254,403
Caballito,6.0,-34.622069,-58.427798,404
Almagro,5.0,-34.606005,-58.425922,405
Nueva Pompeya,4.0,-34.656417,-58.425091,406
Palermo,14.0,-34.59553,-58.424754,407
Almagro,5.0,-34.606521,-58.424536,408
Almagro,5.0,-34.604495,-58.424343,409
Palermo,14.0,-34.594211,-58.424258,410
Palermo,14.0,-34.579642,-58.423408,411
Nueva Pompeya,4.0,-34.642768,-58.422616,412
Boedo,5.0,-34.638851,-58.422545,413
Nueva Pompeya,4.0,-34.645446,-58.421665,414
Almagro,5.0,-34.616752,-58.421571,415
Almagro,5.0,-34.604238,-58.421178,416
Almagro,5.0,-34.611479,-58.421014,417
Almagro,5.0,-34.606057,-58.420861,418
Palermo,14.0,-34.585037,-58.420628,419
Almagro,5.0,-34.613191,-58.420517,420
Almagro,5.0,-34.612884,-58.419598,421
Boedo,5.0,-34.622644,-58.418117,422
Almagro,5.0,-34.605371,-58.417499,423
Boedo,5.0,-34.628101,-58.417077,424
Almagro,5.0,-34.617904,-58.41672,425
Nueva Pompeya,4.0,-34.651923,-58.416187,426
Boedo,5.0,-34.627408,-58.415842,427
Almagro,5.0,-34.620858,-58.415098,428
Nueva Pompeya,4.0,-34.649171,-58.413365,429
Nueva Pompeya,4.0,-34.656999,-58.412509,430
Balvanera,3.0,-34.604162,-58.411822,431
Palermo,14.0,-34.571105,-58.411547,432
Boedo,5.0,-34.638096,-58.411265,433
Palermo,14.0,-34.581978,-58.411101,434
Balvanera,3.0,-34.604123,-58.410894,435
Balvanera,3.0,-34.61112,-58.410234,436
Balvanera,3.0,-34.617623,-58.409401,437
Recoleta,2.0,-34.596967,-58.408867,438
San Cristóbal,3.0,-34.627343,-58.408591,439
Palermo,14.0,-34.586545,-58.408322,440
Balvanera,3.0,-34.605424,-58.406829,441
Palermo,14.0,-34.583459,-58.406178,442
Balvanera,3.0,-34.60662,-58.406072,443
Parque Patricios,4.0,-34.634723,-58.405891,444
Balvanera,3.0,-34.600326,-58.405535,445
Balvanera,3.0,-34.604127,-58.405269,446
Nueva Pompeya,4.0,-34.649942,-58.405228,447
Balvanera,3.0,-34.604706,-58.404875,448
Balvanera,3.0,-34.619044,-58.404801,449
Balvanera,3.0,-34.608232,-58.404666,450
Parque Patricios,4.0,-34.643276,-58.404366,451
Parque Patricios,4.0,-34.634271,-58.404264,452
Palermo,14.0,-34.583442,-58.404033,453
San Cristóbal,3.0,-34.626759,-58.403947,454
Recoleta,2.0,-34.588625,-58.403043,455
Balvanera,3.0,-34.609989,-58.402224,456
Barracas,4.0,-34.647347,-58.40134,457
Balvanera,3.0,-34.616186,-58.401257,458
Recoleta,2.0,-34.591562,-58.401039,459
Barracas,4.0,-34.651069,-58.40057,460
Palermo,14.0,-34.582761,-58.399869,461
Balvanera,3.0,-34.604722,-58.399628,462
Barracas,4.0,-34.65638,-58.399537,463
Recoleta,2.0,-34.595312,-58.399325,464
Balvanera,3.0,-34.616549,-58.399134,465
Recoleta,2.0,-34.589947,-58.398547,466
Barracas,4.0,-34.654819,-58.398481,467
Recoleta,2.0,-34.587954,-58.398269,468
Parque Patricios,4.0,-34.629513,-58.398005,469
Barracas,4.0,-34.656106,-58.397128,470
Recoleta,2.0,-34.586966,-58.396223,471
Parque Patricios,4.0,-34.63537,-58.395961,472
Barracas,4.0,-34.65003,-58.395543,473
Barracas,4.0,-34.651508,-58.395431,474
Balvanera,3.0,-34.604408,-58.395006,475
Recoleta,2.0,-34.586353,-58.394984,476
Balvanera,3.0,-34.609391,-58.394059,477
Recoleta,2.0,-34.599373,-58.393074,478
Balvanera,3.0,-34.609182,-58.39297,479
Recoleta,2.0,-34.594431,-58.392066,480
San Cristóbal,3.0,-34.620222,-58.391629,481
San Nicolás,1.0,-34.607896,-58.391008,482
Recoleta,2.0,-34.597856,-58.389705,483
Recoleta,2.0,-34.587646,-58.389207,484
Barracas,4.0,-34.655622,-58.38866,485
Recoleta,2.0,-34.596406,-58.388322,486
Recoleta,2.0,-34.575262,-58.387506,487
Monserrat,1.0,-34.615564,-58.387347,488
Recoleta,2.0,-34.584834,-58.386914,489
San Nicolás,1.0,-34.603991,-58.386529,490
Monserrat,1.0,-34.613445,-58.38507,491
San Nicolás,1.0,-34.602002,-58.384504,492
Barracas,4.0,-34.632745,-58.383377,493
Monserrat,1.0,-34.617732,-58.383021,494
Retiro,1.0,-34.583319,-58.382439,495
Constitución,1.0,-34.630154,-58.381361,496
San Nicolás,1.0,-34.602532,-58.381341,497
San Nicolás,1.0,-34.603767,-58.381276,498
Constitución,1.0,-34.622148,-58.381002,499
Barracas,4.0,-34.648349,-58.380858,500
Retiro,1.0,-34.582191,-58.380853,501
Monserrat,1.0,-34.617644,-58.380691,502
Constitución,1.0,-34.626368,-58.380189,503
San Nicolás,1.0,-34.606018,-58.380148,504
Retiro,1.0,-34.596115,-58.379893,505
Constitución,1.0,-34.627709,-58.379733,506
Retiro,1.0,-34.597677,-58.379453,507
Barracas,4.0,-34.6383,-58.378956,508
Barracas,4.0,-34.636179,-58.378215,509
San Nicolás,1.0,-34.605434,-58.378196,510
San Nicolás,1.0,-34.601458,-58.37678,511
San Nicolás,1.0,-34.603403,-58.376667,512
Barracas,4.0,-34.652372,-58.375833,513
Retiro,1.0,-34.592888,-58.375503,514
San Nicolás,1.0,-34.603315,-58.375224,515
Barracas,4.0,-34.638035,-58.374679,516
Barracas,4.0,-34.63622,-58.374275,517
Monserrat,1.0,-34.614926,-58.373998,518
Retiro,1.0,-34.59062,-58.37372,519
Barracas,4.0,-34.64501,-58.373537,520
San Telmo,1.0,-34.619588,-58.373428,521
Retiro,1.0,-34.590113,-58.373268,522
San Telmo,1.0,-34.623835,-58.372745,523
San Nicolás,1.0,-34.607009,-58.372277,524
Barracas,4.0,-34.644376,-58.372205,525
Retiro,1.0,-34.58684,-58.371284,526
San Nicolás,1.0,-34.601471,-58.371258,527
San Telmo,1.0,-34.625367,-58.371102,528
San Nicolás,1.0,-34.603507,-58.370165,529
San Nicolás,1.0,-34.602594,-58.36994,530
Barracas,4.0,-34.639169,-58.3694,531
Barracas,4.0,-34.645638,-58.36843,532
Boca,4.0,-34.629908,-58.364089,533
Boca,4.0,-34.643082,-58.361528,534
Boca,4.0,-34.636247,-58.360221,535
Boca,4.0,-34.63229,-58.35899,536
Boca,4.0,-34.636441,-58.35663,537
,,SD,SD,538
Liniers,9.0,-34.639342,-58.528792,539
Villa Devoto,11.0,-34.61105,-58.527044,540
Liniers,9.0,-34.639048,-58.525096,541
Liniers,9.0,-34.636564,-58.522848,542
Villa Devoto,11.0,-34.593945,-58.518563,543
Versalles,10.0,-34.630378,-58.518555,544
Villa Devoto,11.0,-34.615868,-58.516615,545
Villa Devoto,11.0,-34.611303,-58.515916,546
Villa Devoto,11.0,-34.599982,-58.515029,547
Villa Devoto,11.0,-34.600292,-58.513887,548
Villa Devoto,11.0,-34.610455,-58.513421,549
Mataderos,9.0,-34.651713,-58.512615,550
Villa Luro,10.0,-34.625316,-58.510401,551
Villa Devoto,11.0,-34.596525,-58.50943,552
Villa Pueyrredón,12.0,-34.569999,-58.509038,553
Villa Devoto,11.0,-34.592628,-58.506759,554
Villa Luro,10.0,-34.640717,-58.505132,555
Villa Luro,10.0,-34.638171,-58.504512,556
Villa Luro,10.0,-34.641517,-58.504466,557
Villa Del Parque,11.0,-34.602482,-58.504038,558
Mataderos,9.0,-34.650526,-58.503595,559
Villa Urquiza,12.0,-34.574805,-58.501205,560
Villa Lugano,8.0,-34.673315,-58.499277,561
Mataderos,9.0,-34.665886,-58.498557,562
Villa Luro,10.0,-34.637187,-58.498414,563
Villa Urquiza,12.0,-34.576357,-58.498276,564
Villa Urquiza,12.0,-34.578294,-58.495938,565
Saavedra,12.0,-34.548386,-58.495752,566
Villa Luro,10.0,-34.643103,-58.494652,567
Mataderos,9.0,-34.667959,-58.493606,568
